id,agent,unit,group
11848,agent,unit,4
11852,agent,unit,1
11864,agent,unit,2
11865,agent,unit,2
73,agent,unit,3
11866,agent,unit,4
11863,agent,unit,3
23978,agent,unit,4
23983,agent,unit,1
23984,agent,unit,1
23985,agent,unit,3
23986,agent,unit,3
23987,agent,unit,3
23988,agent,unit,3
23989,agent,unit,3
23990,agent,unit,3
23991,agent,unit,3
23992,agent,unit,3
23993,agent,unit,3
23994,agent,unit,3
23995,agent,unit,3
23996,agent,unit,1
23997,agent,unit,4
23998,agent,unit,4
23999,agent,unit,4
24000,agent,unit,3
24001,agent,unit,4
24002,agent,unit,3
24003,agent,unit,3
24004,agent,unit,4
24005,agent,unit,2
24006,agent,unit,4
24007,agent,unit,3
24008,agent,unit,4
24009,agent,unit,4
24010,agent,unit,4
24013,agent,unit,3
24014,agent,unit,3
11862,agent,unit,4
24015,agent,unit,4
24018,agent,unit,5
24025,agent,unit,1
24026,agent,unit,4
24027,agent,unit,4
24028,agent,unit,4
24029,agent,unit,4
24030,agent,unit,4
24031,agent,unit,1
24032,agent,unit,4
24033,agent,unit,4
24034,agent,unit,2
24035,agent,unit,4
24036,agent,unit,3
24037,agent,unit,3
24038,agent,unit,3
24039,agent,unit,3
24040,agent,unit,3
24041,agent,unit,3
24042,agent,unit,3
24043,agent,unit,3
24044,agent,unit,2
24045,agent,unit,4
24046,agent,unit,3
24047,agent,unit,3
24048,agent,unit,3
24050,agent,unit,4
24054,agent,unit,3
24056,agent,unit,3
11804,agent,unit,2
11800,agent,unit,4
11803,agent,unit,4
11794,agent,unit,4
11793,agent,unit,3
11801,agent,unit,3
11805,agent,unit,3
24061,agent,unit,3
24062,agent,unit,3
24063,agent,unit,2
24064,agent,unit,5
24065,agent,unit,3
24066,agent,unit,3
24067,agent,unit,3
24068,agent,unit,3
24069,agent,unit,4
24070,agent,unit,3
24071,agent,unit,3
24072,agent,unit,3
24073,agent,unit,3
24074,agent,unit,3
24075,agent,unit,3
24076,agent,unit,3
24077,agent,unit,3
24078,agent,unit,3
11795,agent,unit,3
11806,agent,unit,3
11792,agent,unit,3
11796,agent,unit,3
24080,agent,unit,4
11750,agent,unit,3
24082,agent,unit,1
24083,agent,unit,3
24084,agent,unit,3
24085,agent,unit,3
24086,agent,unit,5
24087,agent,unit,3
24088,agent,unit,3
24089,agent,unit,3
24090,agent,unit,4
24091,agent,unit,3
24092,agent,unit,3
24093,agent,unit,3
24094,agent,unit,3
24095,agent,unit,3
24096,agent,unit,3
24097,agent,unit,2
24098,agent,unit,3
24099,agent,unit,3
24100,agent,unit,2
24101,agent,unit,2
24102,agent,unit,3
11799,agent,unit,4
11797,agent,unit,2
11798,agent,unit,4
11802,agent,unit,4
24104,agent,unit,4
11748,agent,unit,2
24107,agent,unit,4
11749,agent,unit,4
24108,agent,unit,3
24109,agent,unit,3
24110,agent,unit,2
24111,agent,unit,3
24112,agent,unit,3
